Timestamp,Latitude,Longitude,Altitude,Distance,horizontalAccuracy,verticalAccuracy
400606592.149809,44.476778,-73.196175,116.725433,0.000000,10.000000,10.869890
400606597.099536,44.476842,-73.196153,120.796089,7.357846,5.000000,9.500000
400606600.113338,44.476880,-73.196132,118.154305,4.485154,10.000000,12.445879
400606603.117276,44.476899,-73.196113,114.784576,2.572037,10.000000,12.446644
400606606.120782,44.476920,-73.196090,112.480110,3.055235,5.000000,9.500000
400606610.109059,44.476981,-73.196045,113.806831,7.646367,10.000000,11.447607
400606613.111687,44.477020,-73.195981,109.472244,6.612878,10.000000,11.115373
400606616.113015,44.477043,-73.195935,109.068428,4.466894,10.000000,10.749007
400606618.114795,44.477060,-73.195901,110.986618,3.350289,5.000000,9.500000
400606620.106308,44.477084,-73.195884,109.235069,2.973797,5.000000,9.500000
400606622.114963,44.477103,-73.195857,108.968842,2.984959,5.000000,9.500000
400606626.116268,44.477157,-73.195823,109.105560,6.575072,5.000000,9.500000
400606628.115254,44.477180,-73.195794,112.541191,3.450352,5.000000,9.500000
400606630.101679,44.477216,-73.195768,113.676071,4.532455,5.000000,9.371500
400606633.101420,44.477254,-73.195729,110.116882,5.287582,5.000000,9.137011
400606638.122726,44.477309,-73.195633,115.320099,9.700588,10.000000,9.008500
400606641.102308,44.477342,-73.195571,112.410789,6.246978,5.000000,9.000000
400606645.193863,44.477401,-73.195513,111.940231,8.022962,5.000000,9.000000
400606648.110714,44.477425,-73.195474,112.638283,4.087792,5.000000,9.000000
400606651.113953,44.477454,-73.195444,116.881157,3.993769,10.000000,9.000000
400606654.113605,44.477490,-73.195400,112.485382,5.286559,5.000000,9.000000
400606656.120275,44.477503,-73.195368,112.280319,2.932601,5.000000,9.000000
400606659.118741,44.477540,-73.195314,114.331467,5.983144,5.000000,9.000000
400606662.100929,44.477558,-73.195243,117.446396,5.955916,10.000000,9.039175
400606664.123699,44.477581,-73.195199,116.106903,4.355323,10.000000,9.032947
400606666.116474,44.477586,-73.195161,113.538422,3.073522,5.000000,9.028028
400606669.125090,44.477611,-73.195110,111.121490,4.880988,5.000000,9.000000
400606672.122729,44.477624,-73.195060,116.746635,4.208988,5.000000,9.000000
400606675.122274,44.477648,-73.195047,118.280365,2.882629,10.000000,9.000000
400606680.124481,44.477713,-73.195034,117.239822,7.269612,10.000000,9.000000
400606683.122707,44.477776,-73.194970,110.404236,8.612674,10.000000,9.000000
400606686.120850,44.477807,-73.194909,108.772202,6.011935,10.000000,9.000000
400606689.127581,44.477839,-73.194897,107.030029,3.664209,10.000000,9.196535
400606693.135274,44.477909,-73.194907,106.452896,7.793838,10.000000,9.206598
400606697.131626,44.477976,-73.194902,108.320274,7.486248,10.000000,9.135626
400606700.120881,44.478017,-73.194904,106.221855,4.549094,10.000000,9.000000
400606703.120871,44.478065,-73.194915,106.900078,5.429112,10.000000,9.000000
400606706.121826,44.478119,-73.194920,107.115601,5.990847,5.000000,9.000000
400606708.125060,44.478152,-73.194929,109.025902,3.787427,5.000000,9.000000
400606712.204874,44.478205,-73.194924,114.179016,5.831384,5.000000,9.000000
400606716.127969,44.478267,-73.194926,112.088005,6.902457,10.000000,9.006158
400606720.290419,44.478356,-73.194905,115.930977,10.030507,5.000000,9.000000
400606724.106719,44.478430,-73.194908,112.950050,8.205680,5.000000,9.000000
400606727.117612,44.478482,-73.194910,113.425018,5.806091,10.000000,9.000000
400606731.119666,44.478553,-73.194894,121.405128,8.034608,5.000000,9.000000
400606734.113462,44.478601,-73.194872,118.804520,5.551726,10.000000,9.311541
400606737.118332,44.478649,-73.194845,116.207695,5.726286,5.000000,9.056532
